seasonal_year,Nov_prec,Dec_prec,Jan_prec,Feb_prec,Mar_prec,Nov_temp_y,Dec_temp_y,Jan_temp_y,Feb_temp_y,Mar_temp_y,bloom_day_of_year,bloom_week_of_year
1981,17.0,29.0,30.0,23.0,19.0,5.29834,-2.3129272,-5.9207153,-4.024994,0.34298706,97,15
1982,22.0,20.0,27.0,19.0,20.0,2.1047363,-1.4686584,-4.445099,-4.8977966,0.7591553,89,13
1983,21.0,23.0,25.0,23.0,21.0,6.1488647,-0.28500366,-3.7466125,-5.0839233,0.42895508,97,14
1984,22.0,27.0,29.0,24.0,23.0,3.1653442,-2.875763,-6.4943237,-7.462036,-4.8944397,107,16
1985,12.0,24.0,28.0,23.0,20.0,4.3370667,-1.4240417,-6.8927,-3.5193787,0.6524658,95,14
1986,25.0,25.0,26.0,24.0,21.0,3.8176575,-2.8892822,-6.31546,-7.2113037,-1.4026184,97,15
1987,18.0,20.0,27.0,19.0,20.0,3.233673,-0.0385437,-3.994812,-3.0361328,0.14831543,96,15
1988,18.0,22.0,22.0,22.0,23.0,4.812439,-0.4267273,-2.6075745,-5.593109,-0.5137634,101,14
1989,28.0,21.0,20.0,22.0,23.0,1.9500122,-1.7338257,-1.1388855,-1.301239,0.53533936,88,13
1990,19.0,23.0,28.0,15.0,19.0,5.4690247,-0.8811035,-4.5147095,-0.13638306,1.2962341,86,13
1991,17.0,22.0,27.0,25.0,19.0,6.872528,-0.052459717,-4.038025,-4.7559814,1.4990234,96,14
1992,16.0,20.0,23.0,24.0,20.0,4.69516,0.6149292,-2.572937,-3.3347473,1.6134338,91,14
1993,15.0,24.0,23.0,25.0,19.0,4.4880066,-0.16323853,-2.7026672,-2.9438171,-0.91049194,95,14
1994,21.0,26.0,22.0,21.0,20.0,6.0753174,-1.143219,-4.0280457,-4.9068604,-2.2303772,95,14
1995,19.0,26.0,28.0,23.0,23.0,5.642212,-0.24423218,-4.8315125,-4.9654846,-0.10507202,95,14
1996,18.0,25.0,27.0,21.0,22.0,2.3355408,-2.8178406,-4.3584595,-5.7156067,-1.1333618,99,15
1997,23.0,24.0,27.0,20.0,18.0,4.372467,-0.32989502,-4.8017273,-5.2613525,0.81314087,89,13
1998,16.0,22.0,30.0,22.0,17.0,5.897003,0.019897461,-3.504547,-2.5455627,1.0451965,90,14
1999,21.0,22.0,27.0,23.0,21.0,4.6759033,0.4439392,-3.672699,-4.3874207,1.5387268,91,13
2000,22.0,27.0,25.0,28.0,22.0,5.2215576,-1.220459,-2.3850403,-5.321869,-1.6010437,101,15
2001,19.0,25.0,28.0,20.0,21.0,6.1357727,-0.9487915,-4.9864197,-4.773651,-1.006073,96,14
2002,18.0,28.0,26.0,23.0,17.0,4.015808,-2.0679016,-2.9379272,-3.163971,1.9335632,86,13
2003,27.0,25.0,29.0,23.0,17.0,2.061615,-1.1253052,-4.5167847,-3.4162598,-0.7369995,90,14
2004,22.0,27.0,27.0,22.0,21.0,7.9135437,-0.49362183,-4.318451,-2.4261475,0.3209839,92,14
2005,18.0,20.0,26.0,24.0,25.0,6.7951355,1.1989136,-4.0193787,-4.537384,-1.3843079,98,14
2006,21.0,30.0,27.0,21.0,25.0,4.3129883,-4.069641,-5.08078,-3.2401123,-0.51431274,95,14
2007,21.0,24.0,20.0,16.0,18.0,5.9216614,0.1269226,-2.492035,-0.9491577,-0.022521973,92,14
2008,15.0,28.0,24.0,25.0,22.0,4.707123,0.3484497,-3.768982,-5.275116,1.306488,89,13
2009,18.0,21.0,25.0,19.0,19.0,4.2370605,0.4472351,-3.3721313,-1.5208435,0.8359375,91,14
2010,17.0,24.0,28.0,21.0,27.0,5.1976013,-0.50787354,-3.684906,-1.9699707,0.7626648,90,13
2011,20.0,28.0,29.0,18.0,22.0,4.2368164,0.04272461,-5.900818,-3.5133972,-1.5000305,94,14
2012,18.0,27.0,28.0,24.0,24.0,6.7539673,-1.4248352,-4.8583984,-4.9582214,-0.34439087,97,14
2013,23.0,28.0,27.0,26.0,17.0,3.6342163,-2.6747131,-4.854248,-4.7731323,1.4118347,88,13
2014,23.0,27.0,20.0,18.0,21.0,3.998352,-1.3489685,-4.6058655,-4.418213,0.8629761,90,14
2015,19.0,28.0,28.0,22.0,18.0,6.2063293,-2.6429749,-2.7802734,-2.836792,1.3392029,89,14
2016,22.0,23.0,25.0,21.0,17.0,7.4507446,1.4432068,-2.5514526,-2.3414001,1.8357849,91,13
2017,23.0,23.0,23.0,24.0,19.0,4.980652,0.4677124,-3.5047607,-3.3347778,-0.19369507,94,14
2018,22.0,26.0,29.0,17.0,14.0,4.0713806,-1.8540344,-4.3712463,-4.695526,2.770935,85,13
2019,17.0,27.0,25.0,16.0,20.0,6.361206,0.28616333,-3.4776611,-1.2543335,1.612793,92,14
2020,15.0,21.0,23.0,21.0,22.0,5.4054565,1.2148438,-0.16522217,-0.82244873,2.6647644,92,14
2021,20.0,23.0,26.0,18.0,17.0,6.325287,-0.036590576,-2.736023,-1.2428589,3.8064575,86,12
2022,15.0,24.0,24.0,23.0,17.0,5.4718933,-0.19378662,-4.079956,-3.946167,1.9612732,87,13
2023,15.0,29.0,25.0,18.0,14.0,7.1322937,-0.66290283,-2.6212463,-1.9981384,4.905945,82,12
2024,18.0,23.0,25.0,20.0,21.0,6.3106995,1.0423279,-1.9171143,-0.34136963,0.54278564,95,14
2025,20.0,29.0,25.0,26.0,22.0,6.7836,-0.695282,-2.4470215,-3.8778687,1.5334778,90,14
